@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
115,'2018/04/02 10:01:37:286',1,175.844711,1
116,'2018/04/02 10:01:37:318',1,174.818726,1
117,'2018/04/02 10:01:37:351',1,173.804092,1
118,'2018/04/02 10:01:37:383',1,173.024002,1
119,'2018/04/02 10:01:37:417',1,172.599792,1
120,'2018/04/02 10:01:37:447',1,171.199524,1
121,'2018/04/02 10:01:37:480',1,170.966995,1
122,'2018/04/02 10:01:37:511',1,171.320114,1
123,'2018/04/02 10:01:37:545',1,171.831726,1
124,'2018/04/02 10:01:37:579',1,171.860306,1
125,'2018/04/02 10:01:37:612',1,172.109406,1
126,'2018/04/02 10:01:37:643',1,173.403168,1
127,'2018/04/02 10:01:37:690',1,175.210434,1
128,'2018/04/02 10:01:37:719',1,177.642899,1
129,'2018/04/02 10:01:37:756',1,179.179504,1
130,'2018/04/02 10:01:37:784',1,179.585312,1
131,'2018/04/02 10:01:37:815',1,179.626862,1
132,'2018/04/02 10:01:37:848',1,179.829056,1
133,'2018/04/02 10:01:37:880',1,178.741241,1
134,'2018/04/02 10:01:37:913',1,178.211929,1
135,'2018/04/02 10:01:37:944',1,178.404831,1
136,'2018/04/02 10:01:37:975',1,177.445724,1
137,'2018/04/02 10:01:38:008',1,176.980286,1
138,'2018/04/02 10:01:38:041',1,177.475586,1
139,'2018/04/02 10:01:38:086',1,178.57843,1
140,'2018/04/02 10:01:38:118',1,177.870041,1
141,'2018/04/02 10:01:38:151',1,177.861511,1
142,'2018/04/02 10:01:38:183',1,177.685104,1
143,'2018/04/02 10:01:38:215',1,177.199326,1
144,'2018/04/02 10:01:38:248',1,179.046112,1
145,'2018/04/02 10:01:38:281',1,179.521301,1
146,'2018/04/02 10:01:38:312',1,179.454102,1
147,'2018/04/02 10:01:38:344',1,178.494263,1
148,'2018/04/02 10:01:38:376',1,178.062271,1
149,'2018/04/02 10:01:38:411',1,178.159698,1
150,'2018/04/02 10:01:38:456',1,177.703857,1
151,'2018/04/02 10:01:38:487',1,178.271469,1
152,'2018/04/02 10:01:38:519',1,177.852798,1
153,'2018/04/02 10:01:38:550',1,176.981934,1
154,'2018/04/02 10:01:38:583',1,177.433273,1
155,'2018/04/02 10:01:38:617',1,177.588745,1
156,'2018/04/02 10:01:38:648',1,177.523361,1
157,'2018/04/02 10:01:38:679',1,177.6996,1
158,'2018/04/02 10:01:38:714',1,177.342789,1
159,'2018/04/02 10:01:38:745',1,179.500671,1
160,'2018/04/02 10:01:38:777',1,179.57135,1
161,'2018/04/02 10:01:38:811',1,179.745865,1
162,'2018/04/02 10:01:38:854',1,179.074341,1
163,'2018/04/02 10:01:38:888',1,178.815674,1
164,'2018/04/02 10:01:38:921',1,178.962662,1
165,'2018/04/02 10:01:38:951',1,178.949432,1
166,'2018/04/02 10:01:38:982',1,178.747818,1
167,'2018/04/02 10:01:39:017',1,178.947937,1
168,'2018/04/02 10:01:39:048',1,178.523056,1
169,'2018/04/02 10:01:39:079',1,177.962204,1
170,'2018/04/02 10:01:39:112',1,177.501221,1
171,'2018/04/02 10:01:39:147',1,176.416412,1
172,'2018/04/02 10:01:39:176',1,176.346619,1
173,'2018/04/02 10:01:39:209',1,176.143433,1
174,'2018/04/02 10:01:39:255',1,176.475174,1
175,'2018/04/02 10:01:39:287',1,176.275467,1
176,'2018/04/02 10:01:39:321',1,174.932007,1
177,'2018/04/02 10:01:39:351',1,174.489227,1
178,'2018/04/02 10:01:39:382',1,175.232727,1
179,'2018/04/02 10:01:39:417',1,174.854721,1
180,'2018/04/02 10:01:39:449',1,172.852036,1
181,'2018/04/02 10:01:39:480',1,170.634857,1
182,'2018/04/02 10:01:39:512',1,172.562256,1
183,'2018/04/02 10:01:39:547',1,174.014359,1
184,'2018/04/02 10:01:39:576',1,173.211685,1
185,'2018/04/02 10:01:39:624',1,171.923462,1
186,'2018/04/02 10:01:39:659',1,170.399902,1
187,'2018/04/02 10:01:39:691',1,168.806793,1
188,'2018/04/02 10:01:39:723',1,171.255035,1
189,'2018/04/02 10:01:39:754',1,171.728394,1
190,'2018/04/02 10:01:39:787',1,172.661118,1
191,'2018/04/02 10:01:39:818',1,172.446045,1
192,'2018/04/02 10:01:39:851',1,173.837738,1
193,'2018/04/02 10:01:39:882',1,177.352097,1
194,'2018/04/02 10:01:39:915',1,177.758377,1
195,'2018/04/02 10:01:39:947',1,177.322983,1
196,'2018/04/02 10:01:39:979',1,177.376831,1
197,'2018/04/02 10:01:40:027',1,177.264832,1
198,'2018/04/02 10:01:40:061',1,177.19545,1
199,'2018/04/02 10:01:40:089',1,177.543747,1
200,'2018/04/02 10:01:40:122',1,177.992233,1
201,'2018/04/02 10:01:40:152',1,178.844391,1
202,'2018/04/02 10:01:40:186',1,179.080582,1
203,'2018/04/02 10:01:40:219',1,177.009262,1
204,'2018/04/02 10:01:40:251',1,175.674225,1
205,'2018/04/02 10:01:40:284',1,175.926041,1
206,'2018/04/02 10:01:40:315',1,175.169022,1
207,'2018/04/02 10:01:40:346',1,174.067032,1
208,'2018/04/02 10:01:40:381',1,172.422211,1
209,'2018/04/02 10:01:40:427',1,171.879974,1
210,'2018/04/02 10:01:40:457',1,172.044357,1
211,'2018/04/02 10:01:40:491',1,172.204239,1
212,'2018/04/02 10:01:40:522',1,172.296722,1
213,'2018/04/02 10:01:40:553',1,173.020096,1
214,'2018/04/02 10:01:40:586',1,173.113907,1
215,'2018/04/02 10:01:40:619',1,171.589294,1
216,'2018/04/02 10:01:40:652',1,172.054443,1
217,'2018/04/02 10:01:40:683',1,171.379395,1
218,'2018/04/02 10:01:40:715',1,170.589615,1
219,'2018/04/02 10:01:40:747',1,170.875488,1
220,'2018/04/02 10:01:40:792',1,170.913925,1
221,'2018/04/02 10:01:40:827',1,171.130478,1
222,'2018/04/02 10:01:40:858',1,171.384995,1
223,'2018/04/02 10:01:40:887',1,171.745743,1
224,'2018/04/02 10:01:40:919',1,171.76825,1
225,'2018/04/02 10:01:40:951',1,171.989105,1
226,'2018/04/02 10:01:40:982',1,170.101105,1
227,'2018/04/02 10:01:41:015',1,169.564804,1
228,'2018/04/02 10:01:41:048',1,171.903671,1
229,'2018/04/02 10:01:41:079',1,172.751038,1
230,'2018/04/02 10:01:41:112',1,173.206726,1
231,'2018/04/02 10:01:41:144',1,174.133484,1
232,'2018/04/02 10:01:41:191',1,175.18573,1
233,'2018/04/02 10:01:41:222',1,175.658432,1
234,'2018/04/02 10:01:41:256',1,175.328049,1
235,'2018/04/02 10:01:41:286',1,174.938416,1
236,'2018/04/02 10:01:41:320',1,175.409073,1
237,'2018/04/02 10:01:41:350',1,175.873779,1
238,'2018/04/02 10:01:41:382',1,176.694992,1
239,'2018/04/02 10:01:41:417',1,178.572556,1
240,'2018/04/02 10:01:41:447',1,178.304733,1
241,'2018/04/02 10:01:41:480',1,178.723267,1
242,'2018/04/02 10:01:41:512',1,179.024734,1
243,'2018/04/02 10:01:41:544',1,178.800583,1
244,'2018/04/02 10:01:41:591',1,176.501083,1
245,'2018/04/02 10:01:41:623',1,177.654877,1
246,'2018/04/02 10:01:41:655',1,179.473877,1
247,'2018/04/02 10:01:41:686',1,178.338974,1
248,'2018/04/02 10:01:41:718',1,179.021118,1
249,'2018/04/02 10:01:41:751',1,179.6763,1
250,'2018/04/02 10:01:41:783',1,179.403519,1
251,'2018/04/02 10:01:41:817',1,179.327133,1
252,'2018/04/02 10:01:41:847',1,179.436966,1
253,'2018/04/02 10:01:41:879',1,179.457199,1
254,'2018/04/02 10:01:41:913',1,178.291473,1
255,'2018/04/02 10:01:41:958',1,176.574753,1
256,'2018/04/02 10:01:41:991',1,175.100571,1
257,'2018/04/02 10:01:42:023',1,173.90097,1
258,'2018/04/02 10:01:42:054',1,173.681244,1
259,'2018/04/02 10:01:42:086',1,173.85582,1
260,'2018/04/02 10:01:42:118',1,173.936081,1
261,'2018/04/02 10:01:42:152',1,172.483063,1
262,'2018/04/02 10:01:42:183',1,170.139481,1
263,'2018/04/02 10:01:42:216',1,166.406769,1
264,'2018/04/02 10:01:42:249',1,164.542862,1
265,'2018/04/02 10:01:42:279',1,164.564117,1
266,'2018/04/02 10:01:42:311',1,163.784714,1
267,'2018/04/02 10:01:42:358',1,163.353882,1
268,'2018/04/02 10:01:42:391',1,162.732407,1
269,'2018/04/02 10:01:42:422',1,162.330536,1
270,'2018/04/02 10:01:42:454',1,163.197586,1
271,'2018/04/02 10:01:42:487',1,165.233459,1
272,'2018/04/02 10:01:42:518',1,166.035995,1
273,'2018/04/02 10:01:42:551',1,166.260635,1
274,'2018/04/02 10:01:42:583',1,167.661453,1
275,'2018/04/02 10:01:42:615',1,170.175903,1
276,'2018/04/02 10:01:42:648',1,171.348648,1
277,'2018/04/02 10:01:42:680',1,172.802658,1
278,'2018/04/02 10:01:42:714',1,173.913712,1
279,'2018/04/02 10:01:42:759',1,174.913971,1
280,'2018/04/02 10:01:42:791',1,176.539856,1
281,'2018/04/02 10:01:42:823',1,176.918564,1
282,'2018/04/02 10:01:42:855',1,178.380096,1
283,'2018/04/02 10:01:42:887',1,178.480011,1
284,'2018/04/02 10:01:42:920',1,179.706528,1
285,'2018/04/02 10:01:42:952',1,179.272995,1
286,'2018/04/02 10:01:42:984',1,179.202423,1
287,'2018/04/02 10:01:43:017',1,179.307648,1
288,'2018/04/02 10:01:43:048',1,178.340775,1
289,'2018/04/02 10:01:43:080',1,178.806305,1
290,'2018/04/02 10:01:43:111',1,178.257324,1
291,'2018/04/02 10:01:43:158',1,178.570801,1
292,'2018/04/02 10:01:43:190',1,178.218796,1
293,'2018/04/02 10:01:43:224',1,176.94696,1
294,'2018/04/02 10:01:43:258',1,176.610977,1
295,'2018/04/02 10:01:43:289',1,175.243164,1
296,'2018/04/02 10:01:43:321',1,173.663895,1
297,'2018/04/02 10:01:43:354',1,171.35762,1
298,'2018/04/02 10:01:43:388',1,169.907288,1
299,'2018/04/02 10:01:43:424',1,166.766388,1
300,'2018/04/02 10:01:43:451',1,166.972839,1
301,'2018/04/02 10:01:43:481',1,166.673309,1
302,'2018/04/02 10:01:43:529',1,166.414093,1
303,'2018/04/02 10:01:43:564',1,166.449203,1
304,'2018/04/02 10:01:43:596',1,164.831635,1
305,'2018/04/02 10:01:43:627',1,163.554337,1
306,'2018/04/02 10:01:43:661',1,162.022354,1
307,'2018/04/02 10:01:43:690',1,161.508636,1
308,'2018/04/02 10:01:43:722',1,161.435379,1
309,'2018/04/02 10:01:43:752',1,161.655396,1
310,'2018/04/02 10:01:43:783',1,162.599197,1
311,'2018/04/02 10:01:43:816',1,162.742874,1
312,'2018/04/02 10:01:43:847',1,163.622437,1
313,'2018/04/02 10:01:43:880',1,164.813446,1
314,'2018/04/02 10:01:43:926',1,166.137131,1
315,'2018/04/02 10:01:43:962',1,168.091141,1
316,'2018/04/02 10:01:43:994',1,169.030472,1
317,'2018/04/02 10:01:44:023',1,169.489212,1
318,'2018/04/02 10:01:44:054',1,169.931274,1
319,'2018/04/02 10:01:44:087',1,169.750122,1
320,'2018/04/02 10:01:44:119',1,170.393951,1
321,'2018/04/02 10:01:44:151',1,170.037415,1
322,'2018/04/02 10:01:44:183',1,170.056198,1
323,'2018/04/02 10:01:44:216',1,170.706543,1
324,'2018/04/02 10:01:44:248',1,170.989456,1
325,'2018/04/02 10:01:44:280',1,170.415802,1
326,'2018/04/02 10:01:44:327',1,169.642731,1
327,'2018/04/02 10:01:44:358',1,169.141724,1
328,'2018/04/02 10:01:44:390',1,168.207169,1
329,'2018/04/02 10:01:44:423',1,167.728592,1
330,'2018/04/02 10:01:44:454',1,166.546738,1
331,'2018/04/02 10:01:44:487',1,166.761887,1
332,'2018/04/02 10:01:44:519',1,167.301804,1
333,'2018/04/02 10:01:44:552',1,167.707733,1
334,'2018/04/02 10:01:44:584',1,167.839661,1
335,'2018/04/02 10:01:44:616',1,167.270706,1
336,'2018/04/02 10:01:44:648',1,166.737289,1
337,'2018/04/02 10:01:44:694',1,166.17012,1
338,'2018/04/02 10:01:44:726',1,166.143402,1
339,'2018/04/02 10:01:44:758',1,165.746887,1
340,'2018/04/02 10:01:44:791',1,165.79747,1
341,'2018/04/02 10:01:44:828',1,169.781509,1
342,'2018/04/02 10:01:44:855',1,168.949112,1
343,'2018/04/02 10:01:44:886',1,169.999237,1
344,'2018/04/02 10:01:44:921',1,168.983749,1
345,'2018/04/02 10:01:44:952',1,167.713638,1
346,'2018/04/02 10:01:44:984',1,168.243546,1
347,'2018/04/02 10:01:45:016',1,168.27536,1
348,'2018/04/02 10:01:45:048',1,167.894028,1
349,'2018/04/02 10:01:45:095',1,168.531067,1
350,'2018/04/02 10:01:45:126',1,169.236282,1
351,'2018/04/02 10:01:45:159',1,170.043961,1
352,'2018/04/02 10:01:45:191',1,170.495377,1
353,'2018/04/02 10:01:45:222',1,170.809052,1
354,'2018/04/02 10:01:45:255',1,171.137131,1
355,'2018/04/02 10:01:45:286',1,171.047775,1
356,'2018/04/02 10:01:45:319',1,170.691086,1
357,'2018/04/02 10:01:45:351',1,170.366867,1
358,'2018/04/02 10:01:45:384',1,170.271912,1
359,'2018/04/02 10:01:45:417',1,170.280304,1
360,'2018/04/02 10:01:45:449',1,170.8517,1
361,'2018/04/02 10:01:45:495',1,170.71875,1
362,'2018/04/02 10:01:45:527',1,170.480606,1
363,'2018/04/02 10:01:45:558',1,170.677582,1
364,'2018/04/02 10:01:45:591',1,170.374557,1
365,'2018/04/02 10:01:45:623',1,170.269669,1
366,'2018/04/02 10:01:45:655',1,170.313431,1
367,'2018/04/02 10:01:45:687',1,170.930298,1
368,'2018/04/02 10:01:45:719',1,171.164642,1
369,'2018/04/02 10:01:45:752',1,171.511124,1
370,'2018/04/02 10:01:45:784',1,171.42186,1
371,'2018/04/02 10:01:45:815',1,171.950897,1
372,'2018/04/02 10:01:45:863',1,172.553329,1
373,'2018/04/02 10:01:45:895',1,172.903397,1
374,'2018/04/02 10:01:45:927',1,173.574936,1
375,'2018/04/02 10:01:45:958',1,174.18837,1
376,'2018/04/02 10:01:45:991',1,175.114243,1
377,'2018/04/02 10:01:46:022',1,176.455307,1
378,'2018/04/02 10:01:46:054',1,177.676468,1
379,'2018/04/02 10:01:46:087',1,178.489304,1
380,'2018/04/02 10:01:46:122',1,178.794449,1
381,'2018/04/02 10:01:46:152',1,179.089096,1
382,'2018/04/02 10:01:46:185',1,179.011215,1
383,'2018/04/02 10:01:46:216',1,178.75708,1
384,'2018/04/02 10:01:46:263',1,179.089035,1
385,'2018/04/02 10:01:46:296',1,178.974457,1
386,'2018/04/02 10:01:46:331',1,179.507889,1
387,'2018/04/02 10:01:46:361',1,179.343857,1
388,'2018/04/02 10:01:46:393',1,179.380447,1
389,'2018/04/02 10:01:46:425',1,179.023773,1
390,'2018/04/02 10:01:46:455',1,178.903732,1
391,'2018/04/02 10:01:46:487',1,177.965836,1
392,'2018/04/02 10:01:46:519',1,177.71814,1
393,'2018/04/02 10:01:46:563',1,177.275864,1
394,'2018/04/02 10:01:46:588',1,177.273087,1
395,'2018/04/02 10:01:46:618',1,177.350739,1
396,'2018/04/02 10:01:46:665',1,177.462723,1
397,'2018/04/02 10:01:46:696',1,177.764679,1
398,'2018/04/02 10:01:46:730',1,177.570709,1
399,'2018/04/02 10:01:46:761',1,176.464981,1
400,'2018/04/02 10:01:46:791',1,175.805283,1
401,'2018/04/02 10:01:46:823',1,175.908691,1
402,'2018/04/02 10:01:46:856',1,176.062149,1
403,'2018/04/02 10:01:46:886',1,176.096924,1
404,'2018/04/02 10:01:46:921',1,175.190735,1
405,'2018/04/02 10:01:46:952',1,175.241592,1
406,'2018/04/02 10:01:46:984',1,175.108719,1
407,'2018/04/02 10:01:47:018',1,173.517075,1
408,'2018/04/02 10:01:47:062',1,172.200195,1
409,'2018/04/02 10:01:47:095',1,171.305771,1
410,'2018/04/02 10:01:47:126',1,170.660934,1
411,'2018/04/02 10:01:47:158',1,169.534775,1
412,'2018/04/02 10:01:47:191',1,168.290985,1
413,'2018/04/02 10:01:47:222',1,168.313034,1
414,'2018/04/02 10:01:47:255',1,167.597672,1
415,'2018/04/02 10:01:47:286',1,167.042267,1
416,'2018/04/02 10:01:47:319',1,167.127838,1
417,'2018/04/02 10:01:47:352',1,166.614685,1
418,'2018/04/02 10:01:47:385',1,166.833176,1
419,'2018/04/02 10:01:47:430',1,166.730881,1
420,'2018/04/02 10:01:47:463',1,166.82933,1
421,'2018/04/02 10:01:47:494',1,166.500275,1
422,'2018/04/02 10:01:47:527',1,166.770615,1
